time,filter_id,updated_x,updated_y
1729725670816644,0,127.57,82.0652
1729725672808064,0,127.57,82.0652
1729725675996284,0,127.57,82.0652
1729725676480834,0,127.57,82.0652
1729725677000414,0,127.57,82.0652
1729725677528644,0,127.57,82.0652
1729725678044544,0,127.57,82.0652
1729725678553304,0,127.57,82.0652
1729725679080804,0,127.485,82.1609
1729725679638264,0,127.426,82.2266
1729725680173944,0,127.385,82.2727
1729725680668724,0,127.356,82.3056
1729725681243424,0,127.239,82.4105
1729725681749574,0,127.15,82.4902
1729725682226404,0,127.082,82.5511
1729725683267514,0,126.971,82.5256
1729725683786434,0,126.798,82.4407
1729725684317224,0,126.797,82.4951
1729725684829314,0,126.666,82.4143
1729725685350094,0,126.561,82.3439
1729725685883174,0,126.476,82.2829
1729725686416984,0,126.41,82.2305
1729725686927444,0,126.36,82.1857
1729725687467294,0,126.324,82.1479
1729725688510474,0,126.298,82.1165
1729725689037094,0,126.283,82.0909
1729725689540504,0,126.275,82.0704
1729725690620174,0,126.274,82.0545
1729725691146014,0,126.277,82.0425
1729725691661294,0,126.285,82.034
1729725692201774,0,126.295,82.0283
1729725692703404,0,126.307,82.025
1729725693255064,0,126.32,82.0237
1729725694326044,0,126.333,82.0239
1729725694507044,0,127.015,81.0567
1729725694897804,0,126.943,81.1837
1729725695419574,0,126.798,81.3706
1729725695983484,0,126.666,81.5424
1729725696523104,0,126.549,81.6978
1729725697031034,0,126.446,81.8361
1729725697582744,0,126.357,81.9575
1729725698095674,0,126.281,82.0622
1729725698624364,0,126.217,82.1513
1729725699172274,0,126.088,82.1707
1729725699674444,0,126.055,82.2388
1729725702047724,0,125.88,82.3018
1729725702969364,0,125.734,82.4697
1729725703899274,0,125.637,82.4872
1729725704393704,0,125.536,82.621
1729725705369194,0,125.454,82.7323
1729725705840494,0,125.391,82.8231
1729725706326584,0,125.341,82.7791
1729725706792604,0,125.305,82.7338
1729725707272324,0,125.283,82.8052
1729725707707714,0,125.036,82.6981
1729725708200144,0,124.986,82.8264
1729725709113094,0,124.95,82.9355
1729725710024344,0,124.928,83.0267
1729725711573554,0,124.915,83.1014
1729725713749074,0,124.86,83.0985
1729725714592734,0,124.819,83.0905
1729725715057864,0,124.839,83.1416
1729725716214144,0,124.987,82.3643
1729725717516504,0,124.868,82.3832
1729725717900494,0,124.766,82.4053
1729725718329674,0,124.681,82.4293
1729725718770684,0,124.612,82.454
1729725719210684,0,124.48,82.5396
1729725719631784,0,124.371,82.6166
1729725720092984,0,124.281,82.6846
1729725721931104,0,123.982,82.8479
1729725722844524,0,123.909,82.9375
1729725723279634,0,123.855,83.0129
1729725723727454,0,123.817,83.0753
1729725724194424,0,123.793,83.1258
1729725724672784,0,123.78,83.1658
1729725725164254,0,123.775,83.1964
1729725725873164,0,123.701,83.1652
1729725726586434,0,123.642,83.1339
1729725727346514,0,123.596,83.1036
1729725727709804,0,123.418,82.8932
1729725728144434,0,123.413,82.8896
1729725728976784,0,123.415,82.8876
1729725738713224,0,123.188,82.7257
1729725739555574,0,122.996,82.5861
1729725739974034,0,122.836,82.4674
1729725740428684,0,122.706,82.3681
1729725740867774,0,122.602,82.2867
1729725741593654,0,122.522,82.2212
1729725742695314,0,122.462,82.1699
1729725743139314,0,122.375,82.1836
1729725743565334,0,122.308,82.2012
1729725744267284,0,122.303,82.1688
1729725744666364,0,122.232,82.2044
1729725745078244,0,122.178,82.2393
1729725745512984,0,122.094,82.3248
1729725745941874,0,122.029,82.4015
1729725746374854,0,121.979,82.4692
1729725747083984,0,121.864,82.4756
1729725747746034,0,121.771,82.4802
1729725748401804,0,121.697,82.4834
1729725748777864,0,121.594,82.4261
1729725749470804,0,121.512,82.3755
1729725750195864,0,121.448,82.3314
1729725750864534,0,121.401,82.2936
1729725751132134,0,121.963,80.9029
1729725751630524,0,121.864,81.0513
1729725752953754,0,121.778,81.1984
1729725754334034,0,121.703,81.3402
1729725754989524,0,121.561,81.4227
1729725755681984,0,121.518,81.5531
1729725756393024,0,121.296,81.6872
1729725756758434,0,121.107,81.8069
1729725757137414,0,120.948,81.9121
1729725757235274,0,121.359,80.6472
1729725757518594,0,121.183,80.901
1729725757908694,0,121.033,81.1353
1729725758325354,0,120.907,81.3479
1729725758556504,0,121.414,80.1204
1729725758710774,0,121.25,80.4723
1729725759061424,0,121.107,80.7944
1729725759441584,0,120.984,81.0847
1729725759795794,0,121.457,80.6034
1729725760197814,0,121.296,80.9251
1729725760256534,0,121.739,79.7841
1729725760588514,0,121.54,80.2216
1729725761014674,0,121.361,80.617
1729725761415314,0,121.204,80.9686
1729725762247474,0,121.067,81.2766
1729725762644224,0,120.949,81.5424
1729725764144784,0,120.862,81.8349
1729725764507474,0,120.734,81.9564
1729725764867284,0,120.547,82
1729725765524934,0,120.436,82.0855
1729725766534304,0,120.965,80.8532
1729725766892274,0,120.769,81.01
1729725767045454,0,121.266,79.9015
1729725767686364,0,121.704,78.9278
1729725768289834,0,122.084,78.0878
1729725770196064,0,122.408,77.3764
1729725770846514,0,122.692,76.7224
1729725770887554,0,122.627,77.4582
1729725771474764,0,122.841,76.9356
1729725772109404,0,123.015,76.5054
1729725772717714,0,123.153,76.1593
1729725772932304,0,122.457,77.3126
1729725773332464,0,122.637,76.9296
1729725773578634,0,121.992,78.0209
1729725773884174,0,122.22,77.581
1729725774570564,0,122.421,77.1973
1729725774958344,0,121.802,78.2758
1729725775177104,0,122.053,77.8234
1729725775354664,0,121.404,78.7728
1729725775933844,0,121.711,78.2581
1729725776012054,0,121.162,79.1969
1729725776444604,0,121.512,78.6189
1729725776756084,0,120.845,79.5044
1729725777153514,0,121.249,78.8723
1729725777416684,0,120.634,79.703
1729725778123984,0,120.106,80.4138
1729725778395314,0,120.073,81.2303
1729725778916124,0,119.648,81.701
1729725779202204,0,120.263,80.725
1729725779593544,0,119.847,81.2055
1729725779813634,0,120.465,80.2426
1729725780292554,0,121.02,79.3728
1729725780310934,0,122.029,78.3847
1729725780310964,0,120.77,78.9371
1729725780950564,0,121.273,78.2431
1729725781037844,0,120.733,79.0517
1729725781466874,0,121.238,78.3684
1729725781782004,0,120.701,79.1796
1729725782461144,0,120.231,79.8913
1729725782603724,0,120.721,79.074
1729725783134874,0,120.26,79.7923
1729725783180874,0,120.748,78.872
1729725783784054,0,121.183,78.0554
1729725783817504,0,120.669,78.9138
1729725784488254,0,120.218,79.6695
1729725785229084,0,119.829,80.3253
1729725785998424,0,119.497,80.8862
1729725786655024,0,119.219,81.3585
1729725787444044,0,118.866,81.6417
1729725787860414,0,119.574,80.4653
1729725788075194,0,119.169,80.8745
1729725788378894,0,119.864,79.7585
1729725789185564,2,122.707,75.3819
1729725789392474,1,117.846,82.0959
1729725790061314,1,117.671,82.3161
1729725790361044,2,122.572,75.3778
1729725790722514,1,117.642,82.3565
1729725791358814,1,117.636,82.3647
1729725793626934,2,122.547,75.3771
1729725794122344,2,122.386,75.2287
1729725795358224,1,117.636,82.3649
1729725796548574,1,117.638,82.3628
1729725797303994,1,117.236,82.5217
1729725797989764,1,117.353,82.4731
1729725798729444,1,117.101,82.4612
1729725799550654,1,116.93,82.4516
1729725800195294,1,116.812,82.4436
1729725800952824,1,116.731,82.4367
1729725801300944,2,122.318,75.1648
1729725801448814,0,119.794,80.2839
1729725801712454,1,116.674,82.4306
1729725801866584,0,119.735,80.746
1729725801874744,2,122.287,75.1345
1729725802353544,1,116.635,82.4252
1729725802411894,2,122.273,75.1194
1729725802633614,0,119.684,81.1462
1729725802870894,2,121.98,75.1392
1729725803032494,0,119.643,81.4872
1729725803081884,1,116.61,82.4202
1729725803886704,1,116.595,82.4156
1729725804702324,1,116.589,82.4114
1729725805385574,1,116.589,82.4074
1729725806115934,1,116.593,82.4037
1729725806756644,1,116.602,82.4003
1729725807379474,1,116.535,82.455
1729725807635284,0,119.399,80.6915
1729725808082304,1,116.481,82.5017
1729725808344954,2,121.79,75.1538
1729725808391364,0,119.287,81.1308
1729725808821464,1,116.401,82.5907
1729725809421764,1,116.337,82.6665
1729725810066364,1,116.205,82.6801
1729725810737444,1,116.095,82.6892
1729725811465474,1,116.006,82.6945
1729725811671334,2,121.664,75.165
1729725812121024,1,115.934,82.6968
1729725812157534,2,121.58,75.1739
1729725812867424,2,121.523,75.1812
1729725813469184,2,121.485,75.1874
1729725814055524,1,115.882,82.802
1729725814157274,2,121.461,75.1927
1729725814855414,0,119.115,81.4598
1729725815382934,2,121.447,75.1974
1729725815984894,2,121.442,75.2016
1729725816619214,2,121.443,75.2054
1729725817149704,2,121.36,75.1571
1729725817191164,1,115.725,82.9553
1729725817783624,2,121.382,75.1675
1729725817803704,1,115.594,83.0857
1729725818402294,2,121.311,75.0126
1729725818652604,0,118.857,81.9552
1729725818996074,1,115.488,83.1948
1729725820358374,1,115.365,83.227
1729725821054274,1,115.305,83.3064
1729725821748484,1,115.223,83.3126
1729725822445714,1,115.08,83.2623
1729725823079204,1,114.963,83.2133
1729725823276004,0,118.559,82.3242
1729725823779334,1,114.871,83.1667
1729725824411604,1,114.688,83.2255
1729725824972734,1,114.572,83.2275
1729725825402844,2,121.204,74.8342
1729725825544654,1,114.447,83.274
1729725826216644,1,114.348,83.3124
1729725826939374,1,114.273,83.3434
1729725827404934,2,121.117,74.6835
1729725827568224,1,114.218,83.3678
1729725827655174,0,118.233,82.6864
1729725828032314,2,121.048,74.5576
1729725828109624,1,114.18,83.3864
1729725828641894,2,120.994,74.4539
1729725828691924,1,114.156,83.4001
1729725829286014,2,120.954,74.3699
1729725829314434,1,114.144,83.4095
1729725829911334,1,114.141,83.4154
1729725830459114,0,117.921,82.991
1729725830855204,0,117.665,83.2358
1729725832890464,0,117.493,83.2706
1729725836157164,1,113.945,83.4313
1729725836697794,1,113.78,83.4431
1729725837341674,1,113.644,83.4515
1729725838087954,1,113.534,83.457
1729725838708174,1,113.448,83.4601
1729725839306614,1,113.382,83.4613
1729725839694054,0,117.088,83.4321
1729725839884774,1,113.334,83.4609
1729725840133584,0,116.754,83.5534
1729725840384724,1,113.301,83.4593
1729725840927114,1,113.281,83.4569
1729725842807964,1,113.193,83.5082
1729725843395304,1,113.01,83.5493
1729725843996654,1,112.891,83.5376
1729725845156844,1,112.763,83.5719
1729725845809694,1,112.66,83.6006
1729725846453964,1,112.58,83.624
1729725847169434,1,112.519,83.6428
1729725847929044,1,112.43,83.6652
1729725848681554,1,112.361,83.6831
1729725849439784,1,112.309,83.6968
1729725850101624,1,112.273,83.707
1729725850839124,1,112.171,83.768
1729725850935954,2,120.483,74.2417
1729725851510084,1,112.09,83.8195
1729725851648884,2,120.117,74.0732
1729725852070114,1,112.027,83.8622
1729725852357234,2,119.774,73.9992
1729725852510184,1,111.98,83.8969
1729725853053004,1,111.831,83.8191
1729725853073374,2,119.406,73.8973
1729725853685004,1,111.709,83.7486
1729725854407494,1,111.61,83.6857
1729725855075334,1,111.532,83.6305
1729725855832324,1,111.473,83.5826
1729725856741244,2,119.102,73.8172
1729725857325014,1,111.43,83.5419
1729725858024984,1,111.401,83.5078
1729725858713404,1,111.383,83.4797
1729725858822384,2,118.81,73.7132
1729725859424774,1,111.375,83.4572
1729725859535214,2,118.576,73.6311
1729725860187924,1,111.299,83.5944
1729725860799584,1,111.239,83.716
1729725860975914,2,118.357,73.5656
1729725861539884,1,111.192,83.8222
1729725862280344,1,111.11,83.9218
1729725863016844,1,111.044,84.0061
1729725863786674,1,110.992,84.0763
1729725864424474,1,110.953,84.1337
1729725865140064,1,110.925,84.1794
1729725865290914,2,118.113,73.578
1729725865847154,1,110.876,84.2593
1729725866048754,2,117.84,73.5515
1729725866543834,1,110.788,84.2313
1729725866719354,0,115.931,82.7562
1729725867297464,1,110.686,84.2469
1729725867897894,1,110.603,84.2566
1729725868623364,1,110.537,84.2615
1729725868782664,2,117.623,73.5353
1729725869265214,1,110.408,84.3151
1729725869952694,1,110.302,84.3589
1729725870580244,1,110.217,84.3938
1729725871283894,1,110.15,84.421
1729725872052704,1,110.099,84.4414
1729725872685014,1,110.062,84.4559
1729725873248854,1,110.037,84.4655
1729725873898074,1,110.022,84.471
1729725874556144,1,110.015,84.4732
1729725875064064,1,110.014,84.4728
1729725875609034,1,110.019,84.4703
1729725876269534,1,110.027,84.4664
1729725876908134,1,110.038,84.4613
1729725877580114,1,110.05,84.4556
1729725878127534,1,109.856,84.4621
1729725878786874,1,109.819,84.5066
1729725879300544,1,109.66,84.5048
1729725879794164,1,109.526,84.502
1729725880368474,1,109.415,84.4984
1729725880944704,1,109.324,84.4943
1729725881615284,1,109.252,84.49
1729725881767854,2,117.255,73.5008
1729725882299594,1,109.196,84.4857
1729725882949274,1,109.155,84.4813
1729725883691204,1,109.126,84.4772
1729725884477774,1,109.107,84.4733
1729725885228564,1,109.097,84.4697
1729725885832324,1,109.093,84.4664
1729725886394514,1,109.095,84.4635
1729725886963364,1,109.101,84.4609
1729725887573024,1,109.111,84.4587
1729725888129394,1,109.122,84.4568
1729725888769954,1,109.135,84.4552
1729725889346814,1,109.148,84.4539
1729725890016224,0,114.856,82.0904
1729725890559264,1,109.161,84.4529
1729725891178024,1,109.175,84.452
1729725891780344,1,109.187,84.4514
1729725892467484,1,109.199,84.451
1729725893175544,1,109.21,84.4507
1729725893835644,1,109.061,84.4546
1729725894447664,1,109.012,84.5063
1729725895052134,1,108.89,84.5032
1729725895136724,2,116.727,73.5521
1729725895648204,1,108.786,84.4999
1729725895774614,2,116.292,73.6018
1729725896405604,2,115.94,73.649
1729725898316514,0,113.654,81.3461
1729725898900324,2,115.505,73.7081
1729725901880804,1,108.591,84.4921
1729725902417964,1,108.426,84.4848
1729725903049964,1,108.288,84.4783
1729725903708194,1,108.175,84.4725
1729725903873254,2,115.114,73.759
1729725904339074,1,107.926,84.4715
1729725904458304,2,114.763,73.7623
1729725905023044,1,107.717,84.4706
1729725905582974,1,107.546,84.4699
1729725906189684,1,107.408,84.4693
1729725906785504,1,107.3,84.4689
1729725907395094,1,107.218,84.4685
1729725907940524,1,107.159,84.4683
1729725908564974,1,107.119,84.4681
1729725909235224,1,107.094,84.468
1729725909812944,1,107.083,84.468
1729725910440614,1,107.082,84.468
1729725911013784,1,107.089,84.468
1729725911655444,1,107.103,84.4681
1729725912264004,1,107.12,84.4682
1729725912843654,1,107.141,84.4683
1729725913421794,1,106.951,84.4808
1729725914018434,1,106.79,84.4918
1729725915189814,1,106.654,84.5012
1729725915757564,1,106.542,84.5091
1729725916288114,1,106.452,84.5157
1729725916893054,1,106.382,84.5211
1729725917420574,1,106.328,84.5254
1729725917987134,1,106.289,84.5286
1729725918620494,1,106.263,84.5311
1729725919264374,1,106.247,84.5328
1729725919891994,1,106.239,84.5339
1729725920493304,1,106.238,84.5345
1729725921064224,1,106.243,84.5347
1729725921659194,1,106.17,84.4871
1729725922833384,1,106.111,84.4453
1729725923419014,1,106.063,84.4093
1729725924068904,1,106,84.3234
1729725924251964,1,105.91,84.75
1729725924686174,1,106.243,85.6473
1729725925345144,1,106.094,85.4534
1729725925368784,2,114.089,73.7509
1729725925990494,1,106.03,84.9244
1729725926629124,1,105.911,84.8
1729725927350844,1,105.793,85.1496
1729725927707474,1,105.707,84.8959
1729725927905854,1,105.624,85.2279
1729725928347874,1,105.57,84.959
1729725928454464,2,113.411,73.9007
1729725928910974,1,105.528,84.7198
1729725929024594,2,112.86,73.7875
1729725929533964,1,105.442,84.5178
1729725929638504,2,112.42,73.6881
1729725930120514,1,105.373,84.3439
1729725930248444,2,112.078,73.602
1729725930676544,1,105.237,84.1493
