Timestamp (microseconds)      Peak Amplitude
1699174864153400                2353
1699174864159310                2478
1699174864169800                2186
1699174864175920                2228
1699174864186470                2936
1699174864195100                2728
1699174864206240                2853
1699174864218030                2061
1699174864225810                3103
1699174864242910                2728
1699174864243960                2770
1699174864262180                2186
1699174864264950                2770
1699174864282010                3769
1699174864283610                2811
1699174864300320                2603
1699174864307620                2145
1699174864317840                2853
1699174864325180                2311
1699174864338140                2645
1699174864345600                2186
1699174864362430                2770
1699174864363100                2978
1699174864381320                2020
1699174864383640                2728
1699174864397120                3394
1699174864408280                2811
1699174864422170                4019
1699174864424520                4936
1699174864438160                7852
1699174864450540                4936
1699174864460210                6936
1699174864464090                4728
1699174864481080                7852
1699174864484610                8394
1699174864492460                4436
1699174864508800                5228
1699174864512090                5561
1699174864530470                6478
1699174864533280                9519
1699174864550770                5311
1699174864557680               10935
1699174864565220               10977
1699174864580820               12769
1699174864584680               19643
1699174864594470                8769
1699174864605110                7727
1699174864616880                9227
1699174864621450                6519
1699174864639440                9227
1699174864645050                7061
1699174864657920                7769
1699174864662690               10477
1699174864676070                7352
1699174864685450                6228
1699174864699310                6061
1699174864708250                6561
1699174864712660                7936
1699174864728690                7519
1699174864738290               18435
1699174864739890               16102
1699174864756460                9144
1699174864763100               10144
1699174864769650                6894
1699174864786290                5269
1699174864798480                4603
1699174864807280                7186
1699174864809800                4728
1699174864822400                5103
1699174864838200                4436
1699174864842730                4061
1699174864856410                4228
1699174864866760                3853
1699174864877380                3769
1699174864879660                4228
1699174864892100                2686
1699174864902540                3644
1699174864911000                3936
1699174864920680                3311
1699174864932760                3311
1699174864943750                2811
1699174864950520                3145
1699174864962470                3270
1699174864976860                3145
1699174864987020                3478
1699174864992690                3394
1699174865005860                2645
1699174865009660                2686
1699174865018800                3853
1699174865036680                2645
1699174865039710                2811
1699174865055900                2728
1699174865063930                3686
1699174865069510                2811
1699174865086220                2686
1699174865088730                2645
1699174865105510                3353
1699174865107070                2770
1699174865123890                2645
1699174865128840                3353
1699174865142860                2311
1699174865151420                2561
1699174865164590                2936
1699174865170530                3228
